window,口径,N,批次数,均值,中位数,标准差,胜率,t_p,Wilcoxon_p,最小值,最大值
ANN_1_20,继续持有SELL的板块调整收益,401,6,-0.014726034559810275,-0.025938560425019807,0.1040222944609488,0.3516209476309227,0.004817137827215109,4.0635280694514e-08,-0.31844876034415676,0.8850463371214137
ANN_1_20,公告后退出SELL的回避收益,401,6,0.014726034559810275,0.025938560425019807,0.1040222944609488,0.6483790523690773,0.004817137827215109,4.0635280694514e-08,-0.8850463371214137,0.31844876034415676
ANN_1_5,继续持有SELL的板块调整收益,401,6,-0.011024929108293557,-0.0125825468910691,0.06948697586785073,0.3740648379052369,0.0016024764505086324,1.4298367143349748e-08,-0.286888997000311,0.44096791533076146
ANN_1_5,公告后退出SELL的回避收益,401,6,0.011024929108293557,0.0125825468910691,0.06948697586785073,0.6259351620947631,0.0016024764505086324,1.4298367143349748e-08,-0.44096791533076146,0.286888997000311
ANN_1_TO_EFF_MINUS1,继续持有SELL的板块调整收益,402,6,-0.0014642568218536662,-0.0070733483156683995,0.0409254810481036,0.39303482587064675,0.473570328220683,0.0003020256333307219,-0.121970425690814,0.209510228277001
ANN_1_TO_EFF_MINUS1,公告后退出SELL的回避收益,402,6,0.0014642568218536662,0.0070733483156683995,0.0409254810481036,0.6069651741293532,0.473570328220683,0.0003020256333307219,-0.209510228277001,0.121970425690814
ANN_1_TO_EFF_PLUS5,继续持有SELL的板块调整收益,401,6,-0.01559533955963943,-0.017940736222065202,0.07792419543871633,0.3491271820448878,7.313644643903231e-05,1.5693866231267054e-09,-0.287978801386796,0.5165754677693088
ANN_1_TO_EFF_PLUS5,公告后退出SELL的回避收益,401,6,0.01559533955963943,0.017940736222065202,0.07792419543871633,0.6508728179551122,7.313644643903231e-05,1.5693866231267054e-09,-0.5165754677693088,0.287978801386796
EFF_1_20,继续持有SELL的板块调整收益,401,6,-0.0052376265748322005,-0.012285044782750694,0.10164096977779813,0.4139650872817955,0.30274213183156184,0.011172906506944824,-0.3625454624650979,0.4572545375349016
EFF_1_20,公告后退出SELL的回避收益,401,6,0.0052376265748322005,0.012285044782750694,0.10164096977779813,0.5860349127182045,0.30274213183156184,0.011172906506944824,-0.4572545375349016,0.3625454624650979
EFF_1_5,继续持有SELL的板块调整收益,401,6,-0.005110977001437883,-0.0048635687938154,0.06581321745482943,0.4613466334164589,0.1207090938140782,0.03185149069634318,-0.35206356879381523,0.4892900763366989
EFF_1_5,公告后退出SELL的回避收益,401,6,0.005110977001437883,0.0048635687938154,0.06581321745482943,0.5386533665835411,0.1207090938140782,0.03185149069634318,-0.4892900763366989,0.35206356879381523
