strategy,window,metric,N,批次数,均值,中位数,标准差,胜率,t_p,Wilcoxon_p,最小值,最大值
NEW_NONSTAR_LOW_TURNOVER_MEDIAN_LONG,ANN_1_TO_EFF_MINUS1,board_adj_strategy_return,260,22,0.006633923150455798,0.0004138621759413947,0.029154059487291564,0.5,0.29795719699491197,0.4060330390930176,-0.055648301963617995,0.09320470430746688
NEW_NONSTAR_LOW_TURNOVER_MEDIAN_LONG,ANN_1_TO_EFF_PLUS5,raw_strategy_return,271,26,-0.0023732310395018536,-0.006400565156298514,0.06983315989655292,0.46153846153846156,0.863821569218812,0.7453929781913757,-0.15119991224362594,0.2378419589047419
NEW_NONSTAR_LOW_TURNOVER_MEDIAN_LONG,ANN_1_TO_EFF_PLUS5,board_adj_strategy_return,271,26,-0.00765384083562144,0.00019625317769481586,0.04469942601282798,0.5,0.39091774844635446,0.7835337817668915,-0.15080080863571932,0.076963813549908
NEW_NONSTAR_LOW_TURNOVER_MEDIAN_LONG,EFF_1_20,raw_strategy_return,271,26,0.019585295013617887,-0.019129919355147428,0.11014823603409284,0.4230769230769231,0.3732486661831226,0.9204553663730621,-0.14594128462687764,0.3346779289519013
NEW_NONSTAR_LOW_TURNOVER_MEDIAN_LONG,EFF_1_20,board_adj_strategy_return,271,26,-0.004416021836798854,-0.013474794439363582,0.07587595951397003,0.46153846153846156,0.7690970392540791,0.4082431197166443,-0.11821225815419295,0.25084202539613787
NEW_NONSTAR_LOW_TURNOVER_MEDIAN_LONG,EFF_1_5,raw_strategy_return,271,26,0.0011713530794442903,-0.009627265151316369,0.06534284783100025,0.38461538461538464,0.9278981871246631,0.599547415971756,-0.11590360868636192,0.2297578850880797
NEW_NONSTAR_LOW_TURNOVER_MEDIAN_LONG,EFF_1_5,board_adj_strategy_return,271,26,-0.013529902643458054,-0.0062362913806283254,0.03897368270421098,0.38461538461538464,0.08889847028320799,0.12910079956054688,-0.09740508242967706,0.08421740337333795
NEW_STAR_LONG,ANN_1_20,raw_strategy_return,198,26,0.005325646359502001,-0.022062702812838623,0.12904625603472109,0.38461538461538464,0.8350355404414666,0.4524725079536438,-0.14878283448411217,0.48761708438972073
NEW_STAR_LONG,ANN_1_20,board_adj_strategy_return,198,26,-0.00977819491705487,-0.002520371341893766,0.05354813711621619,0.38461538461538464,0.3607016913294461,0.3666093051433563,-0.13236911305521082,0.1159295261149703
NEW_STAR_LONG,ANN_1_5,raw_strategy_return,198,26,0.003440552075186893,-0.0023666661672700363,0.05865892160787987,0.46153846153846156,0.7673546211502527,1.0,-0.10683594452636806,0.1417535932464914
NEW_STAR_LONG,ANN_1_5,board_adj_strategy_return,198,26,-0.0004278607443683354,-0.005486752973103594,0.032444034794353684,0.46153846153846156,0.9469222790229104,0.9006587266921997,-0.05776404664379461,0.06880897319240577
