comparison,high_strategy,low_or_base_strategy,window,metric,N,批次数,均值,中位数,标准差,胜率,t_p,Wilcoxon_p,最小值,最大值
HIGH_MINUS_LOW_TOP30,NEW_NONSTAR_HIGH_TURNOVER_TOP30_LONG,NEW_NONSTAR_LOW_TURNOVER_BOTTOM30_LONG,ANN_1_5,diff_ar,352,25,0.01295091831962895,0.011737047611718794,0.05359360879277709,0.56,0.23872135445305953,0.2996123433113098,-0.077223669290972,0.12518334520654295
HIGH_MINUS_LOW_TOP30,NEW_NONSTAR_HIGH_TURNOVER_TOP30_LONG,NEW_NONSTAR_LOW_TURNOVER_BOTTOM30_LONG,ANN_1_TO_EFF_MINUS1,diff_raw,333,21,0.007850798288180909,-6.671000000013638e-05,0.03943411808862551,0.47619047619047616,0.37246243581045674,0.45236778259277344,-0.08297468059301685,0.08854534595131502
HIGH_MINUS_LOW_TOP30,NEW_NONSTAR_HIGH_TURNOVER_TOP30_LONG,NEW_NONSTAR_LOW_TURNOVER_BOTTOM30_LONG,ANN_1_TO_EFF_MINUS1,diff_ar,333,21,0.01011506654885573,0.0007242588043921971,0.043014207122023244,0.5238095238095238,0.294029212896948,0.45236778259277344,-0.077223669290972,0.11786081836844575
HIGH_MINUS_LOW_TOP30,NEW_NONSTAR_HIGH_TURNOVER_TOP30_LONG,NEW_NONSTAR_LOW_TURNOVER_BOTTOM30_LONG,ANN_1_TO_EFF_PLUS5,diff_raw,352,25,0.01187384675196646,0.005919347332812318,0.07965697780427806,0.52,0.46332083549111186,0.7914759516716003,-0.09382290920958125,0.21322364944979177
HIGH_MINUS_LOW_TOP30,NEW_NONSTAR_HIGH_TURNOVER_TOP30_LONG,NEW_NONSTAR_LOW_TURNOVER_BOTTOM30_LONG,ANN_1_TO_EFF_PLUS5,diff_ar,352,25,0.012396676174381676,0.007797042084259043,0.07040169731273942,0.56,0.3873609679719221,0.615043044090271,-0.08427622855372763,0.1817558792696886
HIGH_MINUS_LOW_TOP30,NEW_NONSTAR_HIGH_TURNOVER_TOP30_LONG,NEW_NONSTAR_LOW_TURNOVER_BOTTOM30_LONG,EFF_1_20,diff_raw,352,25,0.028507020072713954,0.003020457015243755,0.20896516073725974,0.56,0.5017063542704866,0.8531995415687561,-0.503626129960723,0.6934529599154022
HIGH_MINUS_LOW_TOP30,NEW_NONSTAR_HIGH_TURNOVER_TOP30_LONG,NEW_NONSTAR_LOW_TURNOVER_BOTTOM30_LONG,EFF_1_20,diff_ar,352,25,0.011076758432057274,0.0010631855838238932,0.15639503616741948,0.52,0.7263356765304344,0.8531995415687561,-0.43980852472316956,0.4811291063441605
HIGH_MINUS_LOW_TOP30,NEW_NONSTAR_HIGH_TURNOVER_TOP30_LONG,NEW_NONSTAR_LOW_TURNOVER_BOTTOM30_LONG,EFF_1_5,diff_raw,352,25,0.0009434935294415303,-0.00716886105415071,0.07129087336878272,0.48,0.9477889496483483,0.7711594104766846,-0.14019689724730222,0.2029607091876111
HIGH_MINUS_LOW_TOP30,NEW_NONSTAR_HIGH_TURNOVER_TOP30_LONG,NEW_NONSTAR_LOW_TURNOVER_BOTTOM30_LONG,EFF_1_5,diff_ar,352,25,-0.0019342855812313367,0.009987384372900972,0.056331083183650967,0.52,0.8651214786107286,0.8739878535270691,-0.12977223341540373,0.11174999999999995
HIGH_MEDIAN_MINUS_ALL_NONSTAR,NEW_NONSTAR_HIGH_TURNOVER_MEDIAN_LONG,NEW_NONSTAR_LONG,ANN_1_20,diff_raw,897,28,0.007497417921652007,0.0023374199832164443,0.047516962318186,0.5714285714285714,0.4110928683189566,0.8221841156482697,-0.062436192655754244,0.21185047675866853
HIGH_MEDIAN_MINUS_ALL_NONSTAR,NEW_NONSTAR_HIGH_TURNOVER_MEDIAN_LONG,NEW_NONSTAR_LONG,ANN_1_20,diff_ar,897,28,0.0027449234090783435,0.0012862584178887498,0.02937069327433827,0.5357142857142857,0.624930025513626,0.8416728973388672,-0.06747035919652408,0.07898022241552383
HIGH_MEDIAN_MINUS_ALL_NONSTAR,NEW_NONSTAR_HIGH_TURNOVER_MEDIAN_LONG,NEW_NONSTAR_LONG,ANN_1_5,diff_raw,897,28,0.002300305713934713,0.002939695959120591,0.017488572430132115,0.6071428571428571,0.49237608723760057,0.3666093051433563,-0.04736038009405148,0.03175822520645072
HIGH_MEDIAN_MINUS_ALL_NONSTAR,NEW_NONSTAR_HIGH_TURNOVER_MEDIAN_LONG,NEW_NONSTAR_LONG,ANN_1_5,diff_ar,897,28,0.002113306180895555,0.0027391654690195255,0.017038003150462992,0.5357142857142857,0.517166370841488,0.4524725079536438,-0.04658581181092584,0.030370417444479797
HIGH_MEDIAN_MINUS_ALL_NONSTAR,NEW_NONSTAR_HIGH_TURNOVER_MEDIAN_LONG,NEW_NONSTAR_LONG,ANN_1_TO_EFF_MINUS1,diff_raw,848,23,0.0010620584365889022,-0.0004160708571428473,0.0164168654170102,0.43478260869565216,0.759285335045646,0.9239659309387207,-0.04736038009405148,0.0302053907257352
HIGH_MEDIAN_MINUS_ALL_NONSTAR,NEW_NONSTAR_HIGH_TURNOVER_MEDIAN_LONG,NEW_NONSTAR_LONG,ANN_1_TO_EFF_MINUS1,diff_ar,848,23,0.0013077478561420704,-0.0018639321307057461,0.016515051910263805,0.391304347826087,0.7077656350323397,1.0,-0.04658581181092584,0.03001999999999995
